dog,condition,choice,test_trial_number,first_trial_fam..1.yes..followed.communicator.,first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,communicator,hider,correct
1,True_Belief,baited,7,1,no_displacement,left,6,f,jack_russel_terrier,3,LL,VS,0
2,True_Belief,empty,7,1,displacement,right,1,f,west_highland_white_terrier,3,LL,AE,1
3,False_Belief,empty,7,1,no_displacement,left,10,f,parson_russell_terrier,3,LL,AE,1
4,True_Belief,empty,9,0,displacement,left,0.58,m,parson_russell_terrier,3,LL,AE,1
5,False_Belief,baited,7,1,no_displacement,right,1,f,brazilian_terrier,3,LL,VS,0
6,False_Belief,baited,7,1,displacement,right,2,m,jack_russel_terrier,3,LL,AE,0
7,True_Belief,empty,7,1,no_displacement,left,2,m,brazilian_terrier,3,LL,AE,1
8,True_Belief,baited,7,1,displacement,right,8,f,parson_russell_terrier,3,LL,VS,0
9,False_Belief,baited,8,0,no_displacement,right,2,f,parson_russell_terrier,3,LL,AE,0
10,True_Belief,empty,9,1,no_displacement,right,2,f,parson_russell_terrier,3,LL,VS,1
11,False_Belief,baited,7,1,displacement,left,5,f,parson_russell_terrier,3,LL,VS,0
12,True_Belief,empty,9,1,displacement,right,6,m,yorkshire_terrier,3,LL,VS,1
13,True_Belief,baited,7,1,no_displacement,right,2,m,yorkshire_terrier,3,LL,VS,0
14,False_Belief,baited,7,1,displacement,left,6,f,yorkshire_terrier,3,VS,AE,0
15,True_Belief,empty,7,1,displacement,left,6,f,parson_russell_terrier,3,LL,AE,1
16,False_Belief,baited,7,1,no_displacement,right,0.58,m,jack_russel_terrier,3,LL,AE,0
17,False_Belief,baited,7,1,no_displacement,left,5,m,irish_glen_of_imaal_terrier,3,LL,VS,0
18,False_Belief,baited,7,1,displacement,right,3,f,irish_glen_of_imaal_terrier,3,LL,VS,0
19,False_Belief,baited,7,1,displacement,left,11,f,fox_terrier,3,LL,AE,0
20,True_Belief,empty,7,1,no_displacement,left,6,m,irish_soft_coated_weathen_terrier,3,LL,AE,1
21,False_Belief,baited,7,1,displacement,left,3,m,parson_russell_terrier,3,LL,VS,0
22,False_Belief,baited,7,1,displacement,right,3,f,irish_glen_of_imaal_terrier,3,LL,VS,0
23,True_Belief,baited,7,1,no_displacement,right,7,f,irish_glen_of_imaal_terrier,3,LL,VS,0
24,True_Belief,empty,7,1,no_displacement,left,10,f,irish_glen_of_imaal_terrier,3,LL,VS,1
25,True_Belief,baited,9,1,displacement,left,3,m,jack_russel_terrier,3,LL,VS,0
26,False_Belief,baited,9,1,no_displacement,right,2,m,bedlington_terrier,3,LL,VS,0
27,True_Belief,baited,7,1,displacement,left,0.83,f,irish_glen_of_imaal_terrier,3,LL,VS,0
28,True_Belief,baited,9,0,displacement,right,1,m,parson_russell_terrier,3,LL,AE,0
29,False_Belief,empty,7,1,no_displacement,left,1,m,irish_terrier,3,LL,AE,1
30,False_Belief,baited,7,1,displacement,right,5,f,welsh_terrier,3,LL,AE,0
31,False_Belief,empty,7,1,no_displacement,left,4,f,parson_russell_terrier,3,LL,AE,1
32,True_Belief,baited,7,1,no_displacement,right,2,f,jack_russel_terrier,3,LL,AE,0
33,True_Belief,baited,7,1,displacement,right,4,f,irish_terrier,3,LL,VS,0
34,True_Belief,baited,7,1,no_displacement,left,6,f,border_terrier,3,LL,AE,0
35,False_Belief,empty,7,1,displacement,right,9,m,border_terrier,3,LL,AE,1
36,False_Belief,baited,9,1,no_displacement,left,0.5,m,japanese_terrier,3,LL,AE,0
37,True_Belief,empty,9,1,no_displacement,left,6,m,border_terrier,3,LL,AE,1
38,True_Belief,empty,7,1,no_displacement,right,3,m,parson_russell_terrier,3,LL,VS,1
39,False_Belief,baited,7,1,displacement,right,12,f,jack_russel_terrier,3,LL,VS,0
40,False_Belief,baited,7,1,no_displacement,left,0.58,m,manchester_terrier,3,LL,VS,0
